S.No.,District,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,207,"4,104","30,533","29,986","92,948","52,26,534","2,21,88,286"
1,Balangir,14,317,"1,750","1,744","3,193","3,88,990","15,21,511"
2,DEOGARH,3,70,733,711,"2,055","73,662","2,99,083"
3,Gajapati,7,149,"1,476","1,420","3,568","1,32,122","5,59,676"
4,Ganjam,22,503,"2,785","2,740","6,771","7,20,547","31,52,129"
5,Jajpur,10,311,"1,591","1,570","5,730","4,48,143","19,23,350"
6,Kalahandi,13,310,"1,993","1,923","4,320","3,97,812","15,84,120"
7,Kandhamal,12,171,"2,380","2,307","8,136","1,62,325","6,99,417"
8,Kendujhar,13,297,"2,049","2,013","8,132","3,47,040","15,60,537"
9,Koraput,14,240,"1,920","1,890","4,662","3,24,889","13,08,828"
10,Malkangiri,7,111,965,926,"2,564","1,24,290","5,63,892"
11,Mayurbhanj,26,404,"3,707","3,670","10,710","5,57,331","23,89,245"
12,Nabarangapur,10,188,859,854,"3,269","3,09,326","13,22,227"
13,Nayagarh,8,194,"1,526","1,505","4,673","2,43,286","10,86,431"
14,Nuapada,5,131,642,635,"2,761","1,33,999","5,47,382"
15,Rayagada,11,182,"2,449","2,393","4,666","2,35,643","9,84,333"
16,Sambalpur,9,138,"1,182","1,172","4,985","1,64,589","6,80,129"
17,Subarnapur,6,109,841,830,"2,917","1,48,968","6,12,596"
18,Sundargarh,17,279,"1,685","1,683","9,836","3,13,572","13,93,400"
,Total,207,"4,104","30,533","29,986","92,948","52,26,534","2,21,88,286"
