S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,188,"1,073","1,068","1,899","2,42,576","9,37,691"
1,Bangomunda,26,134,133,183,"27,458","1,15,301"
2,Belpada,24,119,119,322,"35,018","1,52,860"
3,Khaprakhol,21,132,132,304,"25,913","99,544"
4,Muribahal,22,158,155,189,"30,226","1,14,677"
5,Patnagarh,30,163,162,278,"35,221","1,30,442"
6,Saintala,22,135,135,211,"32,526","1,17,278"
7,Titilagarh,24,130,130,188,"33,871","1,20,828"
8,Tureikela,19,102,102,224,"22,343","86,761"
,Total,188,"1,073","1,068","1,899","2,42,576","9,37,691"
