S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,37,37,47,"4,758","19,790"
1,Barapudgia,2,2,2,138,664
2,Barkani,4,4,6,332,"1,287"
3,Bhundi Muhan,2,2,2,297,"1,082"
4,Bhutiar Bahal,1,1,1,54,255
5,Bidighat,1,1,3,343,"1,490"
6,Chandan Bhati,1,1,1,232,989
7,Chikal Bahal,2,2,2,285,"1,112"
8,Jhankar Pali,2,2,3,317,"1,283"
9,Khallia Pali,1,1,1,16,70
10,Khuntpalli,1,1,1,152,558
11,Kutumdola,1,1,1,243,933
12,Madhiapali,3,3,7,536,"2,217"
13,Manhira,3,3,3,156,668
14,Sadei Pali,3,3,3,390,"1,868"
15,Sahajbahal,1,1,1,166,696
16,Sakmaa,1,1,1,82,350
17,Sibtala,1,1,1,160,675
18,Sika Chida,5,5,5,382,"1,677"
19,Tusura Bahal,2,2,3,477,"1,916"
,Total,37,37,47,"4,758","19,790"
