S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,39,39,47,"5,994","23,026"
1,Arjun Pur,3,3,3,301,"1,251"
2,Badabahal,1,1,1,110,435
3,Brahmanijor,1,1,2,92,376
4,Desand,4,4,6,868,"2,495"
5,Dhandamal,1,1,1,259,663
6,Dumerpita,3,3,3,463,"1,787"
7,Gai Bahal,3,3,5,316,"1,395"
8,Jarasingha,1,1,1,298,799
9,Kultapada,2,2,2,208,899
10,Landapathar,2,2,4,267,"1,230"
11,Mahalai,3,3,3,543,"2,218"
12,Makundpur,2,2,2,272,"1,045"
13,Ramchandrapur,5,5,5,763,"3,376"
14,Salepali,1,1,1,297,"1,143"
15,Singamunda,1,1,1,193,742
16,Udar,5,5,6,487,"2,130"
17,Uparjhar,1,1,1,257,"1,042"
,Total,39,39,47,"5,994","23,026"
