S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,33,33,47,"4,833","17,860"
1,Ada Bahal,1,1,1,108,448
2,Bandupala,1,1,1,412,"1,424"
3,Banji Padar,2,2,3,111,383
4,Bhalegaon,1,1,1,21,80
5,Bijepur,3,3,7,500,"1,783"
6,Binekela,1,1,1,74,271
7,Ghantabahali,1,1,1,203,834
8,Jagua,1,1,1,22,86
9,Katarkela,1,1,2,192,739
10,Kholan,2,2,4,332,"1,303"
11,Kursud,3,3,3,456,"2,067"
12,Kushkela,2,2,5,686,"1,957"
13,Mahul Pada,3,3,3,361,"1,407"
14,Manigaon,1,1,2,254,"1,008"
15,Marlad,1,1,1,215,688
16,Naren,3,3,3,142,611
17,Sagadghat,4,4,6,559,"2,060"
18,Siluan,1,1,1,110,409
19,Surda,1,1,1,75,302
,Total,33,33,47,"4,833","17,860"
