S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,36,32,32,"3,920","14,931"
1,Darada,1,1,1,322,951
2,Dudhahansa,5,4,4,380,"1,527"
3,Irda,4,4,4,653,"2,469"
4,Kulida,2,2,2,277,"1,005"
5,Mathani,5,4,4,268,"1,038"
6,Mukulishi,3,2,2,100,385
7,Nabara,1,1,1,132,528
8,Natakata,2,1,1,14,56
9,Patrajhada,1,1,1,99,393
10,Purusottampur,3,3,3,389,"1,506"
11,Raghunathpur,1,1,1,387,"1,534"
12,Sadanandapur,1,1,1,115,502
13,Sahada,2,2,2,320,"1,187"
14,Santoshpur,2,2,2,140,581
15,Tadada,2,2,2,303,"1,201"
16,Vellora,1,1,1,21,68
,Total,36,32,32,"3,920","14,931"
