S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,35,29,29,"3,732","15,293"
1,Barungadia,5,2,2,117,490
2,Brahmanda,4,3,3,388,"1,477"
3,Darada,1,1,1,51,211
4,Dudhahansa,2,1,1,10,58
5,Gadapada,4,4,4,"1,315","5,408"
6,Irda,2,2,2,63,255
7,Kulida,1,1,1,60,238
8,Mukulishi,2,1,1,108,416
9,Patrajhada,6,6,6,665,"2,881"
10,Purusottampur,1,1,1,3,10
11,Raghunathpur,1,1,1,10,32
12,Routpada,2,2,2,474,"1,889"
13,Santoshpur,1,1,1,9,38
14,Vellora,3,3,3,459,"1,890"
,Total,35,29,29,"3,732","15,293"
