S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,86,82,224,"25,885","1,06,831"
1,Ajodhya,3,3,6,"1,083","5,961"
2,Arabandha,6,6,13,"1,296","5,148"
3,Begunia,2,2,2,195,856
4,Berhampur,4,2,2,245,980
5,Bhaunriabad,4,4,20,"2,107","8,549"
6,Chhatrapur,5,5,9,891,"3,746"
7,Dhobsila,3,3,9,978,"3,939"
8,Garadihi,12,12,17,"1,642","6,993"
9,Jadida,4,4,6,640,"2,452"
10,Jamudiha,1,1,6,"1,211","5,096"
11,Kansa,2,2,2,435,"1,737"
12,Kishore Chandrapur,5,5,34,"3,171","12,788"
13,Kuanrpurlakhraj,3,3,4,778,"3,113"
14,Machhua,3,3,3,701,"2,809"
15,Mahisapata,3,3,10,"2,060","8,224"
16,Matiali,1,1,9,"1,150","4,718"
17,Naranpur,3,2,15,918,"3,673"
18,Narsinghpur,3,3,5,355,"1,434"
19,Pithahata,3,3,10,"1,639","6,793"
20,Radhakishorpur,1,1,3,471,"1,791"
21,Sajanagarh,5,5,10,"1,266","5,471"
22,Siadimal,3,3,7,686,"2,617"
23,Telipal,2,2,18,"1,380","5,590"
24,Tentulia,5,4,4,587,"2,353"
,Total,86,82,224,"25,885","1,06,831"
