S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,194,193,511,"8,638","37,074"
1,Ainlapali,3,3,9,294,"1,214"
2,Ambajhari,37,37,104,"1,273","5,956"
3,Badhigaon,1,1,2,50,246
4,Baghiapada,9,9,34,607,"2,582"
5,Bahira,4,4,19,659,"2,619"
6,Baunsuni,3,3,11,260,981
7,BRAHMANIPALI,11,11,27,409,"1,749"
8,Gochhapada,5,5,17,278,"1,126"
9,Gundulia,22,22,67,640,"2,676"
10,Kasurbandha,5,4,5,71,293
11,KHALIAPALI,4,4,12,212,979
12,KHUNTABANDHA,2,2,4,148,602
13,LAXMIPRASAD,3,3,6,88,366
14,MANUPALI,5,5,8,293,"1,181"
15,Mundapada,3,3,8,89,447
16,Mundipadar,3,3,13,269,"1,144"
17,MURUSUNDHI,2,2,5,183,851
18,PADMANPUR,6,6,10,230,996
19,Roxa,7,7,10,245,986
20,Sagada,28,28,44,520,"2,402"
21,TALASARADA,3,3,8,272,"1,099"
22,Telibandh,5,5,11,352,"1,458"
23,Tikarapada,23,23,77,"1,196","5,121"
,Total,194,193,511,"8,638","37,074"
