S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,129,128,298,"6,463","27,293"
1,AMBAGAON,2,2,11,436,"1,789"
2,BARAGAON,21,21,44,686,"2,841"
3,BARAGOCHHA,8,8,22,327,"1,451"
4,BILASPUR,6,6,19,468,"1,878"
5,Dapala,3,3,9,151,745
6,GHANTAPADA,2,2,4,119,458
7,Ghikundi,2,2,6,156,693
8,GUDVELIPADAR,4,4,10,328,"1,438"
9,JOGENDRAPUR,5,5,9,403,"1,608"
10,Khaliapali,2,2,3,42,194
11,KHAMANMUNDA,2,2,5,77,341
12,KHATAKHATIA,8,7,9,115,615
13,KHUNTIGORA,10,10,24,530,"2,257"
14,KULTAJORE,5,5,13,474,"2,081"
15,LAMBASARI,19,19,27,658,"2,688"
16,MANAMUNDA,2,2,6,186,858
17,NARAYANPRASAD,9,9,27,584,"2,314"
18,PALASAGORA,4,4,7,176,803
19,Rengali,3,3,8,97,374
20,RUNDIMAHUL,2,2,5,89,381
21,SIMILIPADAR,2,2,6,81,303
22,SUNDHIPADAR,3,3,8,87,315
23,UMA,5,5,16,193,868
,Total,129,128,298,"6,463","27,293"
