S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,84,83,191,"3,841","16,180"
1,AMBAGAON,1,1,8,374,"1,512"
2,BARAGAON,17,17,35,522,"2,138"
3,BARAGOCHHA,6,6,17,268,"1,217"
4,BILASPUR,1,1,3,23,102
5,Dapala,2,2,5,75,370
6,GHANTAPADA,1,1,2,36,149
7,GUDVELIPADAR,1,1,1,15,75
8,JOGENDRAPUR,2,2,3,72,297
9,Khaliapali,1,1,2,33,144
10,KHAMANMUNDA,2,2,5,77,341
11,Khatakhatia,2,1,2,23,106
12,KHUNTIGORA,9,9,22,473,"2,031"
13,KULTAJORE,5,5,13,474,"2,081"
14,LAMBASARI,14,14,19,457,"1,883"
15,MANAMUNDA,1,1,1,7,32
16,NARAYANPRASAD,9,9,26,579,"2,288"
17,PALASAGORA,1,1,1,26,135
18,RUNDIMAHUL,1,1,2,31,149
19,SIMILIPADAR,1,1,3,24,87
20,SUNDHIPADAR,2,2,7,81,281
21,UMA,5,5,14,171,762
,Total,84,83,191,"3,841","16,180"
