S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,108,98,250,"8,091","32,433"
1,Balanda,3,2,3,98,293
2,Ballam,3,3,5,140,621
3,Bamparada,4,4,10,234,"1,030"
4,Basaloi,3,3,6,309,"1,292"
5,Biyayanagar,2,1,3,94,378
6,Danara,4,4,7,110,532
7,Dandasinga,2,2,3,103,421
8,Dantaribahal,5,4,5,182,794
9,Golabandha,1,1,2,33,160
10,Gurusanga,5,3,9,226,984
11,Jharakandhel,4,4,9,231,965
12,Kadopada,5,5,8,289,"1,234"
13,Kaliapal,5,5,21,633,"2,329"
14,Kalla,1,1,2,69,280
15,Kandhal,2,2,5,100,427
16,Kantapali,12,11,23,730,"3,080"
17,Kaunsabahal,4,2,5,232,902
18,Kelda,7,7,23,537,"2,300"
19,Raitabahal,8,6,13,333,"1,393"
20,Rambhei,12,12,33,"1,214","5,543"
21,Saida,4,4,13,394,"1,632"
22,Saruali,9,9,30,"1,499","4,561"
23,Singhsal,3,3,12,301,"1,282"
,Total,108,98,250,"8,091","32,433"
