S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,36,35,96,"4,068","18,122"
1,Bega,2,2,4,153,640
2,Bidharpur,1,1,2,64,283
3,Daswamana Patana,1,1,1,37,149
4,Deogaon,4,3,5,484,"2,074"
5,Gondia,2,2,5,190,902
6,Kasipur,1,1,2,114,653
7,Khankira,3,3,5,336,"1,514"
8,Lethaka,2,2,5,237,599
9,Mandar,4,4,8,173,816
10,Mathatentulia,2,2,8,475,"2,162"
11,Pingua,1,1,5,378,"1,669"
12,Poruhakhoja,1,1,4,144,686
13,Raitala,2,2,2,86,437
14,Ratanpur,1,1,1,3,20
15,Santhapur,1,1,1,17,83
16,Sorisiapada,8,8,38,"1,177","5,435"
,Total,36,35,96,"4,068","18,122"
