S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,131,128,536,"24,665","1,11,163"
1,Baam,8,7,42,"1,347","5,985"
2,Balikuma,9,9,36,"1,046","5,434"
3,Batagaon,9,9,31,"1,319","6,601"
4,Birasal,8,8,28,"1,437","6,956"
5,Biribolei,3,3,10,643,"2,663"
6,Chandpur,2,2,7,675,"2,679"
7,Dasipur,3,3,14,926,"4,068"
8,Garhpalasuni,6,6,27,"1,660","7,080"
9,Ghagaramunda,8,8,35,"1,332","5,887"
10,Jhili,4,4,18,865,"3,593"
11,Kankadahad,6,6,23,"1,388","6,031"
12,Kantapal,5,5,29,"1,580","6,677"
13,Kantol,8,8,28,770,"3,508"
14,Karagola,6,6,30,"1,239","5,989"
15,Kerajoli,6,6,30,"1,172","5,601"
16,Kuturia,5,5,23,778,"3,496"
17,Mahabir Road,1,1,5,891,"3,611"
18,Makuakatini,10,9,29,"1,515","6,686"
19,Maruabili,11,11,42,"1,840","8,782"
20,Pangatira,5,5,22,988,"4,226"
21,Raibol,8,7,27,"1,254","5,610"
,Total,131,128,536,"24,665","1,11,163"
