S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,35,35,49,"1,927","8,098"
1,Ambapalasa,1,1,1,28,124
2,Badajhara,1,1,1,45,200
3,Barihapur,1,1,1,45,190
4,Basulei,1,1,1,17,130
5,Chandapur,4,4,11,587,"2,434"
6,Damol,1,1,1,73,310
7,Gadaparajang,1,1,2,18,106
8,Gengutia,1,1,1,27,118
9,Jayapurakateni,2,2,2,51,250
10,Kalda,2,2,2,100,401
11,Kandarsinga,3,3,4,64,309
12,Kankadasoda,1,1,3,34,180
13,Kankil,1,1,2,41,191
14,Kantore,1,1,1,60,228
15,Kualo,1,1,1,10,62
16,Kumusi,1,1,1,19,75
17,Manikmara,2,2,3,103,415
18,Muktapasi,1,1,1,75,300
19,Mundeilo,2,2,2,39,188
20,Patarpada,1,1,1,26,98
21,Renthapat,2,2,3,97,389
22,Roda,1,1,1,148,582
23,Sanda,2,2,2,105,378
24,Saranga,1,1,1,115,440
,Total,35,35,49,"1,927","8,098"
