S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,43,43,79,"4,187","17,735"
1,Baladiabandha,1,1,2,66,298
2,Banasing,1,1,2,172,746
3,Barda,2,2,2,169,721
4,Bhaliabolekateni,3,3,8,374,"1,593"
5,Bhapur,1,1,1,145,607
6,Chandra Sekhar Prasad,1,1,2,54,219
7,Dhirpatna,1,1,2,175,655
8,Gengutia,1,1,1,64,244
9,Govindpur,2,2,2,61,279
10,Kaimati,3,3,6,447,"1,841"
11,Kakudibhag,1,1,1,10,60
12,Kankadahada,2,2,3,242,965
13,Kankadpal,3,3,5,212,982
14,Madhusahupatna,6,6,10,461,"1,663"
15,Mangalpur,1,1,1,54,257
16,Manipur,1,1,2,3,226
17,Nagiapasi,1,1,1,26,101
18,Radhadeipur,1,1,1,25,101
19,Sankulei,3,3,5,367,"1,691"
20,Saptasajaya,3,3,7,379,"1,610"
21,Sogarpasi,1,1,2,111,486
22,Suakhaikateni,3,3,11,373,"1,500"
23,Tarava,1,1,2,197,890
,Total,43,43,79,"4,187","17,735"
