S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,392,365,922,"18,875","93,176"
1,Adava,6,6,19,243,"1,251"
2,Antaraba,13,12,26,530,"3,115"
3,Badakhani,9,9,28,490,"2,305"
4,Badasindhiba,10,9,30,698,"3,831"
5,Badeguda,4,3,14,298,"1,314"
6,Baghamari,8,8,34,722,"4,495"
7,Birikote,11,11,26,616,"2,932"
8,Chandiput,15,13,30,675,"3,362"
9,Chandragiri,5,5,13,264,"1,499"
10,Chudangapur,7,6,24,528,"3,131"
11,Damadua,13,12,33,654,"2,754"
12,DAMBAGUDA,13,12,23,486,"2,328"
13,Dengiskhala,8,8,11,255,"1,275"
14,Dhadiamba,7,6,12,175,"1,231"
15,Dhepaguda,4,4,22,302,"1,387"
16,Garadama,13,12,24,570,"2,556"
17,Govindapur,17,13,42,823,"3,552"
18,Guluba,19,18,37,"1,085","5,097"
19,Gurujhuli,9,8,11,213,"1,159"
20,Jarrow,4,4,12,314,"1,311"
21,Jeeranga,10,9,16,491,"2,917"
22,Juba,8,8,18,400,"2,272"
23,Karachabadi,21,19,49,809,"3,371"
24,Katama,10,10,20,600,"2,670"
25,Kesariguda,6,6,16,353,"1,799"
26,Khariguda,9,9,20,382,"1,763"
27,Labarsingi,7,6,18,269,"1,868"
28,Liliguda,11,10,15,232,"1,122"
29,Luhagudi,11,11,30,565,"2,719"
30,Malasapadar,23,19,60,920,"4,235"
31,Mandimera,9,8,15,313,"1,553"
32,Manikapur,5,5,12,259,"1,275"
33,Merapalli,8,8,25,512,"2,448"
34,Mohana,9,9,19,404,"1,905"
35,Panigonda,9,9,24,736,"3,264"
36,Pindiki,13,13,24,361,"1,628"
37,Raipanka,10,10,21,437,"2,078"
38,Sikulipadar,18,17,49,891,"4,404"
,Total,392,365,922,"18,875","93,176"
