S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,222,219,416,"15,966","71,253"
1,Abarsing,11,11,24,953,"4,907"
2,Anagha,18,17,27,567,"2,863"
3,Bastriguda,9,9,16,717,"3,176"
4,Chellagada,12,11,23,928,"4,929"
5,Chelligada,10,10,21,"1,359","5,311"
6,Dabaraguda,11,11,22,480,"2,425"
7,Mahendragada,18,18,55,"2,035","9,035"
8,Mangarajpur,14,14,22,781,"3,449"
9,Parisala,7,7,9,561,"2,527"
10,Purunapani,25,25,33,781,"3,725"
11,R Udayagiri,6,6,19,"1,621","6,278"
12,Ramagiri,2,2,10,"1,026","3,282"
13,Randiva,7,7,14,621,"2,822"
14,Sabarpalli,12,12,32,"1,180","4,801"
15,Sialilati,29,28,43,"1,069","5,018"
16,Subalada,11,11,18,622,"2,910"
17,Tabarsingi,20,20,28,665,"3,795"
,Total,222,219,416,"15,966","71,253"
