S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,26,26,38,"1,518","6,231"
1,Alipur,2,2,3,168,658
2,BABANPUR,2,2,3,58,212
3,Balichhai,1,1,1,25,102
4,Balisira,3,3,6,335,"1,528"
5,Bangarada,1,1,1,40,165
6,Bhetanai,1,1,3,80,345
7,Chhadiyapalli,2,2,4,215,869
8,Devabhumi,1,1,1,37,165
9,Gunthupada,1,1,1,21,97
10,Jayapur,1,1,1,21,101
11,Kamagada,1,1,1,6,27
12,Khandadeuli,2,2,2,30,93
13,KHARIA,1,1,1,22,58
14,MUNIGADI,2,2,2,36,100
15,Nalabanta,2,2,3,150,708
16,Pandiapathara,2,2,4,197,807
17,Sidhhanai,1,1,1,77,196
,Total,26,26,38,"1,518","6,231"
