S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,41,41,54,"3,092","14,318"
1,Angargaom,2,2,2,126,556
2,B.K.KHAMA,1,1,1,5,19
3,Chandanapur,4,4,8,220,"1,106"
4,Ghodapada,4,4,5,109,554
5,K.barida,1,1,1,201,863
6,Kalimeghi,11,11,15,339,"1,657"
7,Khandianai,1,1,2,259,"1,454"
8,Kumbhargaom,6,6,8,709,"2,832"
9,Phasi,2,2,2,395,"1,901"
10,S.chhachina,1,1,2,426,"2,017"
11,Sandhamula,1,1,1,53,272
12,Sumandala,1,1,1,84,409
13,Talasara,6,6,6,166,678
,Total,41,41,54,"3,092","14,318"
