S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,50,49,135,"4,706","20,222"
1,Badakodanda,2,2,3,206,955
2,Baibali,3,3,12,196,759
3,Baruda,6,6,13,555,"2,665"
4,Baunsalundi,1,1,1,60,140
5,Brahmanapadar,1,1,1,32,115
6,Dadaralunda,9,9,35,980,"3,773"
7,Dihapadhala,1,1,1,6,21
8,Domuhani,5,5,18,390,"1,697"
9,Dumakumpa,4,4,11,371,"1,522"
10,GALLERY,1,1,2,18,45
11,Golapada,3,3,5,149,746
12,Gunduribadi,1,1,1,55,229
13,Harigada,1,1,1,160,720
14,Kullada,2,2,5,340,"1,479"
15,Lalsingi,1,1,4,87,428
16,Lembhei,2,2,4,297,"1,143"
17,Mudulipalli,1,1,4,327,"1,481"
18,Mujagada,4,3,8,169,819
19,Sanakodanda,1,1,5,295,"1,421"
20,Turumu,1,1,1,13,64
,Total,50,49,135,"4,706","20,222"
