S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,62,62,92,"8,293","36,226"
1,Chandapur,10,10,16,336,"1,085"
2,Girisola,3,3,4,419,"1,374"
3,Govindanagar,4,4,5,378,"1,895"
4,K.nuagam,11,11,16,491,"2,336"
5,Kalabada,1,1,1,17,86
6,Katuru,1,1,2,519,"1,486"
7,Kotlingi,3,3,3,38,185
8,L.m.l.n Pur,6,6,9,165,727
9,Pitatali,1,1,1,90,338
10,R.subani,1,1,3,901,"3,532"
11,Ramchandrapur,16,16,20,514,"2,279"
12,Rampa,2,2,3,160,605
13,Sonapur,1,1,5,"1,579","7,740"
14,Sorola,2,2,4,"2,686","12,558"
,Total,62,62,92,"8,293","36,226"
