S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,35,30,42,"2,206","8,726"
1,BAHARAPUR,2,2,2,63,287
2,Baradabali,4,3,6,339,"1,262"
3,Dharakote,6,5,6,434,"1,795"
4,Dhaugaon,3,2,2,26,115
5,Jagamohan,3,2,4,87,373
6,Jahada,1,1,1,60,235
7,Jharapari,4,4,5,174,710
8,Machakote,1,1,1,46,227
9,Manikyapura,1,1,2,113,468
10,Mundamarei,3,3,5,367,"1,544"
11,Olamba,2,1,1,22,88
12,Rugumu,2,2,2,160,649
13,Saba,1,1,2,14,70
14,Saradhapura,1,1,1,121,184
15,Singpur,1,1,2,180,719
,Total,35,30,42,"2,206","8,726"
