S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,59,57,76,"2,428","10,642"
1,B.l.n.pur,7,6,6,110,514
2,Basudavapur,2,2,2,68,282
3,Boda Dumula,7,7,13,291,"1,230"
4,Bomkai,3,3,3,175,870
5,Bramarapur,2,2,2,190,760
6,Chasa Nimakhandi,3,3,5,216,965
7,Goudagam,2,1,1,26,104
8,Kaithakhandi,1,1,1,29,120
9,Karapada,3,3,5,178,779
10,Khamarigam,10,10,11,323,"1,649"
11,Kotinada,5,5,5,191,627
12,S.tikarapada,6,6,8,227,"1,107"
13,Sidheswar,2,2,4,185,778
14,Turubudi,6,6,10,219,857
,Total,59,57,76,"2,428","10,642"
