S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,30,30,82,"3,807","17,104"
1,Adheigan,1,1,3,111,490
2,Alasu,1,1,1,47,194
3,Alladi,1,1,5,321,"1,434"
4,Cadhiyapalli,1,1,2,93,380
5,Chhamunda,2,2,3,99,378
6,Gaya Ganda,2,2,10,636,"3,119"
7,Jaganathprasad,2,2,3,48,183
8,Jhada Bhumi,3,3,4,89,395
9,Kadua,2,2,7,600,"2,298"
10,Khetamundali,1,1,1,5,350
11,Kudutei,3,3,10,279,"1,501"
12,Kumpapada,2,2,5,233,958
13,Pratapur,4,4,9,314,"1,458"
14,Rauti,2,2,3,160,727
15,Rudha Padar,2,2,11,404,"1,693"
16,Tarasing,1,1,5,368,"1,546"
,Total,30,30,82,"3,807","17,104"
