S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,49,49,134,"4,746","21,001"
1,Adheigan,1,1,3,111,490
2,Alasu,2,2,3,71,272
3,Alladi,1,1,5,321,"1,434"
4,Cadhiyapalli,1,1,2,93,380
5,Chhamunda,2,2,3,99,378
6,Gaya Ganda,2,2,17,774,"3,728"
7,Jaganathprasad,6,6,14,139,564
8,Jhada Bhumi,3,3,4,89,395
9,Kadua,2,2,7,600,"2,298"
10,Khetamundali,3,3,8,132,902
11,Koko Laba,1,1,1,5,25
12,Kudutei,4,4,12,294,"1,559"
13,Kumpapada,2,2,5,233,958
14,Pratapur,4,4,9,314,"1,458"
15,Rauti,3,3,8,206,913
16,Rudha Padar,11,11,28,897,"3,701"
17,Tarasing,1,1,5,368,"1,546"
,Total,49,49,134,"4,746","21,001"
