S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,53,49,98,"7,778","36,195"
1,B.n Pur,2,2,2,343,"1,301"
2,Badapalli,14,14,42,"1,172","4,552"
3,Bania,3,2,4,383,"1,062"
4,Bhikapada,1,1,1,136,586
5,Chikili,3,3,3,135,586
6,Danapur,2,2,2,541,"2,635"
7,Dimiria,3,3,10,462,"2,012"
8,Kanaka,7,7,10,561,"2,544"
9,Kanheipur,2,1,1,116,487
10,Keshpur,5,4,7,"1,319","6,264"
11,Komanda,2,2,4,845,"6,053"
12,LANGALESWAR,1,1,1,24,99
13,Mathura,2,1,1,340,"1,478"
14,Naikanipalli,1,1,1,1,5
15,Pathara,1,1,4,"1,084","5,362"
16,Sabulia,1,1,2,125,526
17,SRIKRUSHNASARANAPUR,1,1,1,17,73
18,Talapada,2,2,2,174,570
,Total,53,49,98,"7,778","36,195"
