S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,19,19,43,"2,551","11,741"
1,Allarigada,2,2,4,297,"1,447"
2,Brahmunachai,1,1,3,238,"1,074"
3,Dhabalapur,1,1,1,179,806
4,Gobindapur,1,1,4,224,"1,000"
5,Gothagam,1,1,1,45,205
6,K.karadakana,2,2,4,142,675
7,Khirida,1,1,2,144,689
8,Krushnachai,2,2,4,215,968
9,Kulagada,1,1,2,16,73
10,Kumarpani,1,1,1,19,83
11,Kurula,2,2,5,170,763
12,Mahupadar,2,2,6,538,"2,505"
13,Pitala,1,1,2,42,187
14,Seragada,1,1,4,282,"1,266"
,Total,19,19,43,"2,551","11,741"
