S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,97,94,143,"3,011","14,607"
1,Asurabandha,3,3,6,175,873
2,BADABADANGI,4,4,5,87,596
3,Badagada,2,2,2,72,325
4,Badagocha,7,7,8,216,"1,094"
5,Gajalabadi,17,17,25,375,"1,761"
6,Gangapur,2,2,2,48,229
7,Genja,1,1,6,122,521
8,Gocha,6,6,10,233,"1,041"
9,GOPALAPUR SASANA,1,1,1,10,50
10,Goudagotha,28,26,40,923,"4,496"
11,Hukuma,2,2,4,77,310
12,Lathipada,4,3,5,150,734
13,Merikote,9,9,12,250,"1,137"
14,Nuagada,1,1,1,34,170
15,PALAKATA,3,3,4,79,355
16,Sarabadi,1,1,1,22,112
17,Sidhapur,5,5,8,86,544
18,Suramani,1,1,3,52,259
,Total,97,94,143,"3,011","14,607"
