S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,198,"1,221","1,208","5,504","2,72,721","12,71,611"
1,Balikuda,30,221,221,717,"45,678","1,99,283"
2,Biridi,21,80,80,589,"21,274","1,11,841"
3,Ersama,25,192,189,551,"44,727","1,80,532"
4,Jagatsinghpur,30,161,160,994,"36,042","1,76,764"
5,Kujang,28,153,153,857,"39,949","2,03,865"
6,Naugaon,16,87,87,485,"23,693","1,13,724"
7,Raghunathpur,19,82,81,490,"22,712","1,10,141"
8,Tirtol,29,245,237,821,"38,646","1,75,461"
,Total,198,"1,221","1,208","5,504","2,72,721","12,71,611"
