S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,32,27,52,"1,328","6,301"
1,Ambiri,3,3,7,99,563
2,Biritola,2,1,1,10,30
3,Dainlo,2,2,4,101,550
4,Garam,3,3,4,71,362
5,Gobindapur,1,1,1,9,37
6,Gopalpur Sankheswar,1,1,1,10,42
7,Jadtira,1,1,2,67,333
8,Jagannathapur,2,2,3,63,430
9,Kanakpur,1,1,1,20,179
10,Kanimula,2,2,5,171,774
11,Katara,4,2,4,92,484
12,Kolar,1,1,2,25,131
13,Kostimallikapur,1,1,1,35,183
14,Krishnanandapur,2,1,3,215,642
15,Mulisingh,1,1,2,29,96
16,Patilo,1,1,4,96,602
17,Tarajanga,2,1,3,85,364
18,Tirtol,1,1,2,107,403
19,Tulanga,1,1,2,23,96
,Total,32,27,52,"1,328","6,301"
