S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,52,49,79,"6,764","27,204"
1,Areikana,1,1,1,35,143
2,Aruha,1,1,1,105,496
3,Badakaima,4,4,8,402,"1,928"
4,Bhabanipur,3,3,3,408,"1,640"
5,Brundadeipur,2,2,2,233,986
6,Choramuhan,2,1,1,369,"1,713"
7,Deoda,2,2,8,942,"3,858"
8,Endalaba,1,1,2,430,"1,195"
9,Gangadhar Pur,2,1,1,185,593
10,Haridaspur,2,1,1,23,111
11,Kadampal,1,1,7,66,333
12,Kamagada,1,1,1,294,682
13,Kantigadia,1,1,1,36,136
14,Khetrapal,2,2,2,176,638
15,Kotapur,4,4,8,771,"3,300"
16,Kumari,1,1,1,7,37
17,Madhupurugarh,4,4,6,407,"1,673"
18,Mahisira,2,2,3,235,"1,033"
19,Mirzapur,2,2,3,375,"1,252"
20,Pakhara,1,1,1,66,322
21,Patunia,3,3,4,290,"1,019"
22,Purunabaulamala,2,2,2,302,"1,543"
23,Raichanda,1,1,3,61,285
24,Samparu,1,1,1,152,682
25,Thanual,2,2,4,263,"1,000"
26,UTTARPRATAP,4,4,4,131,606
,Total,52,49,79,"6,764","27,204"
