S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,53,50,77,"5,984","24,548"
1,Amrutia,4,3,8,304,"1,314"
2,Badabiruhan,1,1,2,141,708
3,Bandalo,2,2,2,137,583
4,Barundei,2,2,2,68,298
5,Dhaneswar,4,3,3,413,"1,705"
6,Goleipur,3,3,3,502,"1,846"
7,Gourpur,5,4,5,391,"1,644"
8,Haladigadia,3,3,3,223,819
9,Jahna,1,1,2,172,797
10,Kantore,3,3,3,402,"1,810"
11,Karda,2,2,2,218,840
12,Khaman,1,1,1,111,546
13,Makundapur,1,1,1,97,411
14,Mulapal,1,1,1,71,368
15,Pachhikote,4,4,8,532,"2,641"
16,Panikoili,2,2,2,145,659
17,Pataranga,1,1,2,66,243
18,Pathara Pada,2,2,2,109,474
19,Ranapur,1,1,3,144,607
20,Taharpur,1,1,1,48,329
21,Talagarh,2,2,3,307,"1,210"
22,Tandara,2,2,5,938,"2,698"
23,Tarakote,1,1,1,66,337
24,Tulati,4,4,12,379,"1,661"
,Total,53,50,77,"5,984","24,548"
