S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,32,28,83,"4,158","17,574"
1,Arthagan,3,3,14,397,"1,748"
2,Bahadalapur,4,3,8,222,914
3,Bandhadiha,4,4,6,279,"1,356"
4,Bhotaka,1,1,1,37,149
5,Jabara,1,1,3,255,"1,008"
6,Kalana,3,2,10,568,"2,047"
7,Laxminagara,1,1,6,189,900
8,Mangarajpur,2,2,7,567,"2,311"
9,Mugupal,2,1,3,144,702
10,Nathuabara,1,1,3,171,628
11,Prathamakhandi,1,1,5,274,"1,202"
12,Rahamba,1,1,4,214,893
13,RAJENDRAPUR,1,1,1,21,102
14,Rasulpur,1,1,2,121,586
15,Samantarapur,3,2,5,276,"1,111"
16,Singhapur,1,1,2,212,"1,013"
17,Sribantapur,1,1,2,191,841
18,Tikarapada,1,1,1,20,63
,Total,32,28,83,"4,158","17,574"
