S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,33,33,151,"6,000","23,523"
1,Chandnimal,4,4,24,790,"2,742"
2,Dalki,1,1,7,114,433
3,Durlaga,2,2,9,512,"2,089"
4,Gourmal,6,6,28,620,"2,453"
5,Hirma,2,2,25,"1,072","4,455"
6,Jamera,1,1,4,176,612
7,Katikela,1,1,5,222,999
8,Kudopali,3,3,10,568,"2,446"
9,Loisingh,3,3,10,482,"1,801"
10,Malda,2,2,6,383,"1,442"
11,Marakuta,2,2,8,325,"1,373"
12,Patrapali,2,2,3,142,545
13,Rajpur,3,3,7,220,859
14,Talpatia,1,1,5,374,"1,274"
,Total,33,33,151,"6,000","23,523"
