S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,101,212,181,492,"27,494","1,38,381"
1,Balianta,14,45,44,164,"5,067","24,904"
2,Balipatna,13,24,24,111,"3,531","17,859"
3,Banpur,11,26,17,29,"1,022","4,984"
4,Begunia,4,7,6,14,"1,034","4,155"
5,Bhubaneswar,13,27,23,35,"2,604","12,491"
6,Bolgarh,4,9,4,6,147,661
7,Chilika,14,32,28,57,"7,148","36,413"
8,Jatani,9,13,12,30,"1,594","8,158"
9,Khordha,7,8,7,19,678,"3,573"
10,Tangi,12,21,16,27,"4,669","25,183"
,Total,101,212,181,492,"27,494","1,38,381"
