S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,254,"1,775","1,712","3,556","3,17,361","12,72,058"
1,Bhawanipatna,36,256,246,355,"42,589","1,93,638"
2,Dharmagarh,24,68,68,287,"31,654","1,21,889"
3,Golamunda,28,120,119,395,"35,386","1,34,772"
4,Junagarh,34,160,156,534,"48,432","2,00,434"
5,Kalampur,11,54,54,137,"16,905","63,766"
6,Kesinga,26,99,98,275,"33,553","1,24,890"
7,Lanjigarh,26,376,350,638,"27,503","1,16,339"
8,M.rampur,19,221,220,353,"23,337","87,032"
9,Narla,26,164,158,226,"38,119","1,41,953"
10,Th.rampur,24,257,243,356,"19,883","87,345"
,Total,254,"1,775","1,712","3,556","3,17,361","12,72,058"
