S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,376,350,638,"27,503","1,16,339"
1,Bandhapari,15,14,24,"1,048","4,221"
2,Basantapada,8,7,15,530,"1,890"
3,Bater Lima,9,9,17,487,"2,563"
4,Bedagaon,14,14,15,287,"1,500"
5,Ben Gaon,27,26,31,"1,319","5,590"
6,Bhatangapadar,17,15,21,506,"2,395"
7,Bhurtigarh,12,9,25,731,"2,994"
8,BIJEPUR,28,27,38,"1,152","4,767"
9,Biswanatha Pur,8,7,29,"1,134","4,706"
10,Champadeipur,15,14,40,"1,355","5,465"
11,Chhatarapur,13,11,25,"1,632","6,523"
12,Gobordhanpur,9,9,16,"1,269","5,301"
13,Gunduri,20,19,29,700,"2,881"
14,Jagannathpur,5,5,11,"1,074","3,512"
15,KADAMGUDA,11,9,16,404,"1,792"
16,Kamardha,13,13,26,"1,032","4,132"
17,Kankutru,12,11,17,646,"2,937"
18,Kumkhal,13,11,20,578,"2,414"
19,Lakhbahali,17,15,25,"1,198","4,985"
20,Lanji,26,24,38,"1,416","6,316"
21,LANJI GARH,8,8,24,"4,471","19,589"
22,Lanji Garh Road,13,13,34,"1,895","7,762"
23,Mali Jubang,13,13,19,603,"2,560"
24,Pahadpadar,7,7,14,680,"3,469"
25,Pokhari Bandha,22,21,46,914,"4,302"
26,Trilochan Pur,21,19,23,442,"1,773"
,Total,376,350,638,"27,503","1,16,339"
