S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,108,83,137,"4,910","20,194"
1,Bandhapari,4,3,3,82,353
2,Basantapada,5,4,7,184,672
3,Bater Lima,1,1,1,45,53
4,Bedagaon,4,4,4,88,411
5,Ben Gaon,7,6,8,423,"1,857"
6,Bhatangapadar,8,6,9,240,"1,137"
7,Bhurtigarh,4,1,1,18,52
8,Bijepur,5,4,10,209,864
9,Champadeipur,2,1,2,64,282
10,Chhatarapur,5,3,13,798,"3,000"
11,Gunduri,6,5,6,163,621
12,Jagannathpur,2,2,2,79,583
13,Kadamguda,3,1,2,40,159
14,Kamardha,2,2,3,55,240
15,Kankutru,6,5,7,324,"1,468"
16,Kumkhal,8,6,10,331,"1,239"
17,Lakhbahali,10,8,9,293,"1,004"
18,Lanji,7,5,9,540,"2,330"
19,Lanji Garh Road,3,3,6,253,906
20,Mali Jubang,1,1,2,69,267
21,Pahadpadar,1,1,3,182,882
22,Pokhari Bandha,8,7,14,285,"1,328"
23,Trilochan Pur,6,4,6,145,486
,Total,108,83,137,"4,910","20,194"
