S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,243,217,322,"10,541","45,230"
1,Bandhapari,10,9,15,623,"2,392"
2,Basantapada,5,4,8,346,"1,218"
3,Bater Lima,7,7,12,332,"1,605"
4,Bedagaon,9,9,10,140,819
5,Ben Gaon,20,19,20,805,"3,333"
6,Bhatangapadar,12,10,12,266,"1,258"
7,Bhurtigarh,12,9,23,671,"2,703"
8,Bijepur,22,21,25,860,"3,699"
9,Biswanatha Pur,3,2,4,64,261
10,Champadeipur,5,4,6,225,882
11,Chhatarapur,8,6,9,482,"2,101"
12,Gobordhanpur,4,4,9,547,"2,488"
13,Gunduri,13,12,18,431,"1,729"
14,Jagannathpur,1,1,1,68,187
15,Kadamguda,7,5,9,223,864
16,Kamardha,9,9,16,634,"2,447"
17,Kankutru,5,4,8,268,"1,250"
18,Kumkhal,8,6,10,247,"1,175"
19,Lakhbahali,10,8,13,794,"3,500"
20,Lanji,20,18,25,734,"3,394"
21,LANJI GARH,7,7,11,287,"1,154"
22,Lanji Garh Road,4,4,10,292,"1,434"
23,Mali Jubang,10,10,12,412,"1,714"
24,Pahadpadar,5,5,6,323,"1,464"
25,Pokhari Bandha,15,14,19,265,"1,243"
26,Trilochan Pur,12,10,11,202,916
,Total,243,217,322,"10,541","45,230"
