S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,49,45,54,"7,364","27,149"
1,Baddharpur,2,2,2,167,727
2,Bagpur,1,1,2,105,417
3,Bhanpur,1,1,1,175,756
4,Gadebandh,5,4,4,761,"2,868"
5,Ghantamal,1,1,1,310,"1,131"
6,Gigina,1,1,1,180,659
7,Kurmel,6,6,6,387,"1,421"
8,Mandel,2,1,1,72,274
9,Muskuti,3,3,3,946,"3,542"
10,Narla,1,1,1,175,663
11,Nishan Pur,6,5,5,523,"1,886"
12,Raxi,2,2,2,171,714
13,Rupra,1,1,1,65,241
14,Rupra Road,3,3,6,401,"1,552"
15,Santpur,3,2,2,154,549
16,Sargi Guda,2,2,2,284,988
17,Sarian,1,1,2,689,"2,519"
18,Takarla,4,4,6,810,"2,786"
19,Tula Pada,2,2,2,203,757
20,Ulikupa,2,2,4,786,"2,699"
,Total,49,45,54,"7,364","27,149"
