S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,60,46,64,"4,193","17,762"
1,Adri,3,3,4,197,745
2,Badachhatrang,3,2,2,104,344
3,Birikot,1,1,2,205,787
4,Dumerpadar,3,3,5,608,"2,823"
5,Gopalpur,4,4,5,281,"1,230"
6,Gopinathpur,5,5,5,324,"1,332"
7,Gunpur,2,1,2,41,814
8,KANIGUMA,2,1,2,58,215
9,Karlapat,2,1,1,113,487
10,Kerpai,2,2,3,171,788
11,Kiapadar,2,2,2,134,563
12,Mahulpatna,3,3,4,510,"1,985"
13,Maligaon,2,2,3,131,521
14,Nakrundi,3,2,2,72,300
15,Padepadar,3,2,5,201,767
16,Podapadar(b),1,1,1,47,234
17,Silet,1,1,1,31,138
18,Sindhipadar,3,1,1,28,107
19,Tal Ambpadar,1,1,1,18,82
20,Talajhapi,1,1,1,49,162
21,Talnagi,2,1,2,140,503
22,Th.rampur,9,5,9,678,"2,653"
23,Thuamul,2,1,1,52,182
,Total,60,46,64,"4,193","17,762"
