S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,125,122,394,"7,863","38,800"
1,Dharakota,4,4,20,215,977
2,Durgapanga,14,11,33,518,"2,409"
3,Gugurumaha,11,11,25,767,"3,829"
4,Jubaguda,10,10,31,684,"3,381"
5,Judabali,8,8,22,465,"2,347"
6,Kotagarh,6,6,13,224,"1,174"
7,Madaguda,12,12,33,492,"2,337"
8,Marlanga,8,8,33,918,"4,471"
9,Ora,7,7,22,449,"2,357"
10,Pakari,3,3,20,608,"2,759"
11,Parigada,12,12,32,599,"3,041"
12,Ranipanga,6,6,23,366,"1,967"
13,Sartul,7,7,37,575,"2,904"
14,Srirampur,7,7,19,325,"1,639"
15,Subararnagiri,10,10,31,658,"3,208"
,Total,125,122,394,"7,863","38,800"
