S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,141,141,642,"13,766","59,564"
1,Badabarba,7,7,27,516,"2,285"
2,Beredakia,2,2,13,555,"2,416"
3,Dadangia,5,5,37,958,"3,967"
4,Gumamaha,19,19,70,"1,712","7,306"
5,Indragada,14,14,47,715,"3,269"
6,Karada,12,12,51,921,"4,617"
7,Mandakia,10,10,69,"1,450","6,206"
8,Manikeswar,23,23,79,"1,662","6,665"
9,Petapanga,8,8,70,"1,117","4,559"
10,Raikia,2,2,56,"1,976","8,580"
11,Ranaba,23,23,56,914,"4,353"
12,Sugadabadi,16,16,67,"1,270","5,341"
,Total,141,141,642,"13,766","59,564"
