S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,190,185,568,"7,940","38,796"
1,Belghar,19,19,46,989,"5,258"
2,Bhandarangi,20,20,38,508,"2,063"
3,Bilamal,17,16,45,672,"2,885"
4,Guma,17,17,51,702,"4,189"
5,Jhiripani,18,16,51,733,"3,499"
6,Karukudupa,15,15,62,582,"3,120"
7,Kurtmgada,10,10,37,510,"2,824"
8,Lankagada,25,24,45,473,"2,488"
9,Mundigada,26,25,93,"1,427","6,315"
10,Sirla,10,10,70,735,"3,888"
11,Tumudibandh,13,13,30,609,"2,267"
,Total,190,185,568,"7,940","38,796"
