S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,173,340,319,"1,219","41,654","1,84,820"
1,Aali,24,38,38,199,"5,196","23,706"
2,Derabis,24,61,59,210,"5,439","23,596"
3,Garadpur,16,36,34,96,"1,920","8,637"
4,Kendrapada,19,38,35,118,"4,904","21,547"
5,Mahakalapada,22,55,50,113,"5,773","24,759"
6,Mashaghai,17,25,23,70,"3,046","13,775"
7,Pattamundai,18,33,32,230,"8,857","40,935"
8,Rajkanika,18,30,29,123,"4,404","18,286"
9,Rajnagar,15,24,19,60,"2,115","9,579"
,Total,173,340,319,"1,219","41,654","1,84,820"
