S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,25,23,70,"3,046","13,775"
1,Angulai,3,2,6,527,"2,573"
2,BANDHAKATA,1,1,1,40,192
3,Batira,2,2,17,456,"1,957"
4,BERUHAN,1,1,4,69,306
5,Dumuka,1,1,1,8,32
6,Garjanga,1,1,6,449,"1,948"
7,Hindulia,2,1,4,13,74
8,Jamapada,1,1,1,9,86
9,KARILOPATANA,3,3,5,590,"2,740"
10,KUHUDI,1,1,1,19,95
11,Mangarajpur,2,2,2,33,160
12,Marshaghai,1,1,2,28,135
13,Mehindinagar,1,1,1,17,80
14,Parakula,1,1,1,70,320
15,Raghabpur,1,1,2,78,348
16,Silipur,1,1,3,117,536
17,Talasanga,2,2,13,523,"2,193"
,Total,25,23,70,"3,046","13,775"
