S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,30,29,123,"4,404","18,286"
1,ABDULPUR,2,2,28,828,"3,409"
2,Baghabuda,2,2,3,256,980
3,BALARAMPUR,1,1,1,15,63
4,Baradiha,4,4,14,325,"1,500"
5,BARHA DOMUNDA,2,2,10,508,"2,400"
6,Charapada,1,1,1,65,233
7,Jagulaipada,1,1,1,67,386
8,Jayanagara,1,1,2,28,144
9,Kantapada,1,1,3,51,239
10,Katanabania,1,1,2,125,503
11,Koilipur,1,1,6,184,730
12,Lahuni,3,2,4,126,615
13,OLAVER,1,1,1,4,36
14,Padhanpada,3,3,8,556,"2,183"
15,Panasaganda,2,2,21,632,"2,351"
16,Pegarpada,2,2,6,362,"1,367"
17,TARAS,1,1,5,94,371
18,TRAILOKYAPUR,1,1,7,178,776
,Total,30,29,123,"4,404","18,286"
