S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,80,79,247,"13,198","60,903"
1,Baunshgarh,3,3,18,"1,054","4,865"
2,Budhikuda,6,5,7,407,"1,865"
3,Dhokotha,6,6,17,"1,203","5,665"
4,Gayalmunda,14,14,34,"1,601","8,029"
5,Kantipal,2,2,23,"1,213","5,698"
6,Kathakata,4,4,19,955,"4,449"
7,Kodapada,5,5,14,799,"3,571"
8,Kolimati,9,9,26,"1,530","7,157"
9,Manoharpur,10,10,26,"1,079","4,753"
10,Mochinda,3,3,8,657,"2,519"
11,Panasdiha,10,10,34,"1,346","6,259"
12,Salabani,2,2,6,369,"1,616"
13,Tartara,6,6,15,985,"4,457"
,Total,80,79,247,"13,198","60,903"
