S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,131,131,758,"22,367","1,03,710"
1,Badamasinabila,6,6,37,"1,177","5,532"
2,Badapichhula,2,2,19,738,"3,378"
3,Badjamposi,7,7,42,"1,707","8,337"
4,Balabhadrapur,2,2,18,525,"2,198"
5,Balipokhari,8,8,26,690,"3,217"
6,Barahatipura,4,4,17,456,"2,279"
7,Basantapur,2,2,22,525,"2,392"
8,Bholabeda,3,3,33,930,"4,205"
9,Binida,3,3,22,463,"2,189"
10,Dhenkikote,4,4,24,716,"3,295"
11,Gadadharpur,6,6,19,679,"3,072"
12,Khantaghar,4,4,25,709,"3,475"
13,Monaharpur,8,8,37,"1,030","5,285"
14,Muktapur,6,6,26,737,"3,556"
15,Mukundapur Patna,6,6,20,370,"1,828"
16,Paidapatna,3,3,15,458,"2,022"
17,Pandapada,3,3,28,583,"2,690"
18,Patilo,7,7,32,671,"2,784"
19,Pipilia,4,4,35,"1,053","4,788"
20,Purumunda,6,6,36,987,"4,482"
21,Rutisila,6,6,27,793,"3,727"
22,Santrapur,3,3,30,"1,140","5,111"
23,Sarasposi,5,5,37,744,"3,378"
24,Sunatangiri,2,2,14,428,"1,919"
25,Tara,7,7,22,886,"3,875"
26,Toranipokhari,9,9,41,"1,290","5,813"
27,Upperdiha,5,5,54,"1,882","8,883"
,Total,131,131,758,"22,367","1,03,710"
