S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,157,155,431,"22,540","1,02,029"
1,Badapalasapal,8,8,21,"1,317","6,351"
2,Bareigoda,14,13,23,895,"4,271"
3,Bhagamunda,4,4,24,"1,382","6,299"
4,Bhanrapur,3,3,5,237,"1,122"
5,Boxibarigaon,5,5,11,"1,017","4,676"
6,Budhakhamana,5,5,16,760,"3,203"
7,Dhurudiambo,6,6,26,"1,685","7,878"
8,Gounighasa,4,4,34,"1,113","4,679"
9,Harichandanapur,2,2,6,231,"1,260"
10,Hunda,5,5,27,"1,292","5,480"
11,Jamujodi,5,5,16,703,"3,016"
12,Janghira,3,3,4,215,926
13,Jiranga,8,8,17,584,"2,588"
14,Junga,12,12,31,"1,544","6,793"
15,Manoharpur,5,5,8,463,"2,078"
16,Pitapiti,2,2,2,69,330
17,Pithagola,11,11,24,"1,481","6,048"
18,Rasola,10,10,18,"1,164","5,465"
19,Rebanapalasapal,7,7,12,850,"3,825"
20,Sagadapata,7,7,36,"1,407","6,812"
21,Sunapentha,8,8,21,"1,484","6,738"
22,Tangiriapal,9,9,19,992,"4,940"
23,Tentalaposi,10,9,13,807,"3,806"
24,THAKURPADA,4,4,17,848,"3,445"
,Total,157,155,431,"22,540","1,02,029"
