S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,139,138,158,"15,404","64,670"
1,Almonda,11,10,12,800,"4,064"
2,Badasorpolli,7,7,7,"1,555","6,004"
3,Bandhugaon,13,13,15,"1,552","5,419"
4,Garidi,10,10,16,"1,819","6,603"
5,Jaguguda,17,17,21,"1,987","9,389"
6,Kabaribadi,8,8,9,790,"3,714"
7,Kangam,6,6,7,756,"3,452"
8,Kapalada,18,18,18,871,"3,727"
9,Khumbariput,10,10,11,"1,418","4,613"
10,Kumbhaganda,10,10,11,660,"3,207"
11,Kutrabeda,10,10,10,"1,188","4,332"
12,Neelabadi,8,8,9,"1,169","4,925"
13,Pedalada,11,11,12,839,"5,221"
,Total,139,138,158,"15,404","64,670"
