S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,135,134,153,"14,280","60,504"
1,Almonda,10,9,11,705,"3,578"
2,Badasorpolli,7,7,7,"1,555","6,004"
3,Bandhugaon,12,12,13,688,"2,946"
4,Garidi,10,10,16,"1,819","6,603"
5,Jaguguda,16,16,20,"1,932","8,649"
6,Kabaribadi,8,8,9,790,"3,714"
7,Kangam,6,6,7,756,"3,452"
8,Kapalada,18,18,18,871,"3,727"
9,Khumbariput,10,10,11,"1,418","4,613"
10,Kumbhaganda,10,10,11,660,"3,207"
11,Kutrabeda,10,10,10,"1,188","4,332"
12,Neelabadi,7,7,8,"1,059","4,458"
13,Pedalada,11,11,12,839,"5,221"
,Total,135,134,153,"14,280","60,504"
