S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,121,115,280,"15,660","61,077"
1,A.malkangiri,2,2,14,868,"3,390"
2,Chanabeda,8,8,20,971,"3,999"
3,Chikamba,7,7,14,869,"3,529"
4,Dasmantpur,7,6,16,962,"3,949"
5,Duarsuni,18,15,35,"1,855","7,571"
6,Dumbaguda,5,5,12,619,"2,602"
7,Gadiaguda,10,9,21,"1,449","5,495"
8,Giriliguma,11,11,20,"1,111","4,376"
9,Lulla,7,7,20,"1,323","5,299"
10,Mujanga,10,10,25,"1,625","5,267"
11,Murkar,9,9,22,"1,377","5,569"
12,Nandigam,4,4,6,220,753
13,P.bedapadar,1,1,7,148,549
14,P.phulbeda,8,8,18,771,"3,023"
15,Pindapadar,9,8,24,"1,161","4,482"
16,Podagada,5,5,6,331,"1,224"
,Total,121,115,280,"15,660","61,077"
