S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,86,86,198,"22,218","90,275"
1,Batsana,2,2,12,"1,720","6,399"
2,Bhansuli,3,3,6,827,"3,159"
3,Bobeya,7,7,12,"1,636","6,687"
4,Chandili,8,8,11,"1,493","6,574"
5,Chatraulla,4,4,18,713,"3,057"
6,Chitra,5,5,17,"1,639","6,835"
7,Dhamanahandi,5,5,11,"1,305","5,846"
8,Ghumar,7,7,16,"1,335","5,722"
9,Girla,6,6,14,"2,091","7,240"
10,Guali,3,3,4,761,"3,086"
11,Gumuda,4,4,6,752,"3,193"
12,Kusumi,7,7,20,"1,649","6,876"
13,Mutrahandi,6,6,10,"1,502","5,826"
14,S.b.nuagam,6,6,14,"1,546","6,406"
15,Sadaranga,4,4,12,"1,596","6,728"
16,Sargiguda,6,6,8,858,"3,381"
17,Sutipadar,3,3,7,795,"3,260"
,Total,86,86,198,"22,218","90,275"
