S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,102,99,485,"20,305","90,969"
1,Ampavalli,3,3,39,"1,313","4,769"
2,Chandaka,6,6,33,"1,714","7,532"
3,DEOPOTTANGI,4,4,18,878,"4,281"
4,GANGARAJPUR,6,6,24,"1,002","4,848"
5,Kotiya,28,25,40,"2,205","9,948"
6,Maliput,7,7,18,"1,242","5,645"
7,NUAGAON,3,3,10,733,"3,089"
8,PETURU,5,5,49,"1,652","6,618"
9,Pottangi,7,7,23,"2,021","9,393"
10,Pukali,4,4,31,"1,562","7,353"
11,RALLEGADA,5,5,41,"1,287","6,286"
12,SAMBAI,4,4,36,"1,548","7,273"
13,Sunki,11,11,67,"1,579","6,754"
14,TALAGOLURU,9,9,56,"1,569","7,180"
,Total,102,99,485,"20,305","90,969"
