S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,266,245,442,"13,718","59,426"
1,Andrapalli,9,8,14,481,"2,185"
2,Badapada,14,14,25,752,"3,729"
3,Badapadar,22,22,53,"1,747","6,103"
4,Chitrakonda,2,2,9,"1,396","4,728"
5,Dhuliput,23,20,23,470,"2,169"
6,Doraguda,14,12,32,980,"4,026"
7,Gajalmamidi,16,12,15,478,"2,018"
8,GUNTABEDA,7,7,30,833,"3,734"
9,Jantri,15,11,14,445,"1,879"
10,Jodamba,34,31,49,891,"3,908"
11,Kapatuti,2,2,13,390,"1,813"
12,KURUMANUR,17,17,30,803,"3,590"
13,NUAGUDA,10,9,21,431,"2,212"
14,PANASAPUT,19,19,24,963,"5,093"
15,PAPERMETLA,19,18,27,940,"4,341"
16,POPULUR,11,11,17,577,"2,616"
17,Rallegada,27,25,30,676,"3,161"
18,Tunnel Camp,5,5,16,465,"2,121"
,Total,266,245,442,"13,718","59,426"
