S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,249,228,415,"12,771","54,201"
1,Andrapalli,9,8,14,481,"2,185"
2,Badapada,14,14,25,752,"3,729"
3,Badapadar,22,22,53,"1,747","6,103"
4,Chitrakonda,2,2,7,"1,223","3,694"
5,Dhuliput,23,20,23,470,"2,169"
6,DORAGUDA,13,11,31,971,"3,986"
7,Gajalmamidi,16,12,15,478,"2,018"
8,GUNTABEDA,7,7,30,833,"3,734"
9,Jantri,15,11,14,445,"1,879"
10,Jodamba,33,30,48,880,"3,871"
11,Kapatuti,2,2,13,390,"1,813"
12,Kurumanur,10,10,18,459,"1,952"
13,NUAGUDA,10,9,21,431,"2,212"
14,PANASAPUT,13,13,17,617,"2,943"
15,PAPERMETLA,18,17,26,934,"4,315"
16,POPULUR,10,10,14,519,"2,316"
17,Rallegada,27,25,30,676,"3,161"
18,Tunnel Camp,5,5,16,465,"2,121"
,Total,249,228,415,"12,771","54,201"
