S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,123,122,395,"25,398","1,18,234"
1,Badigata,6,6,13,852,"3,888"
2,BEJANGAWADA,5,5,9,515,"2,212"
3,Bhubanpalli,4,4,17,"1,620","7,057"
4,BODILI,2,2,18,953,"5,130"
5,CHINTALWADA,4,4,13,627,"2,788"
6,CHITRANGAPALLI,9,9,24,"1,642","7,018"
7,GOMPAKONDA,5,4,15,905,"4,205"
8,Gumuka,5,5,16,"1,181","7,070"
9,Kalimela,3,3,21,"2,204","9,769"
10,Kangurukonda,3,3,7,892,"3,529"
11,Koimetla,3,3,9,814,"4,800"
12,Lugel,3,3,20,"1,121","4,552"
13,MAHARAJPALLI,4,4,15,980,"4,624"
14,Mallavaram,8,8,32,"1,710","7,867"
15,MANDAPALLI,4,4,11,680,"3,131"
16,Manyamkonda,12,12,33,"1,083","5,389"
17,Motu,6,6,12,555,"2,044"
18,Nallagunthi,3,3,15,"1,077","5,610"
19,Pusuguda,13,13,26,"1,145","5,177"
20,Tandabai,5,5,16,"1,668","7,679"
21,Telrai,11,11,35,"1,350","6,616"
22,Tigal,2,2,12,"1,549","6,829"
23,VENKATAPALLAM,3,3,6,275,"1,250"
,Total,123,122,395,"25,398","1,18,234"
