S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,133,129,343,"22,041","1,02,360"
1,B.L.PUR,6,6,17,655,"2,758"
2,Challanguda,14,14,28,"1,800","8,137"
3,Gongala,4,4,19,937,"4,374"
4,Gorakhunta,4,4,11,960,"4,233"
5,Goudaguda,4,4,20,"1,111","5,188"
6,Jharapali,6,6,9,759,"3,485"
7,Markapali,2,2,18,816,"3,719"
8,Matapaka,9,9,16,923,"4,180"
9,Padmagiri,4,4,16,"1,262","6,152"
10,Pandripani,5,5,16,868,"4,008"
11,Pedakonda,3,3,14,998,"4,422"
12,Pedawada,5,5,21,871,"3,965"
13,Serpali,9,9,23,"1,110","5,035"
14,SIKHAPALLI,7,7,17,"1,312","7,005"
15,Sindhrimala,17,16,33,"1,815","8,269"
16,Tamasa,7,6,16,"2,157","10,213"
17,TANDAPALLI,6,5,11,"1,446","7,088"
18,Tondiki,13,12,19,"1,103","4,599"
19,Udupa,8,8,19,"1,138","5,530"
,Total,133,129,343,"22,041","1,02,360"
