S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,186,183,559,"19,888","84,232"
1,Badgam,10,10,53,"1,349","6,391"
2,Banakati,10,10,24,"1,112","4,772"
3,Bangiri Posi,5,5,17,817,"3,422"
4,Bhuasuni,14,13,40,"1,141","4,854"
5,Brahmangam,21,21,52,"1,369","6,067"
6,Budhikhamari,10,10,37,"1,688","7,351"
7,Chakidi,13,13,21,493,"2,227"
8,Chandan Pur,9,8,27,872,"3,553"
9,Dhobani Sole,7,7,27,"1,021","4,382"
10,Dighi,6,6,35,945,"3,594"
11,Golamundha Kota,8,8,29,"1,076","4,302"
12,Kalabadia,12,12,31,"1,201","5,205"
13,Kumbhar Mundha Kota,5,4,21,"1,044","4,382"
14,Kusum Bandh,6,6,15,771,"3,093"
15,Nafri,4,4,13,402,"1,676"
16,Nischinta,13,13,40,"1,436","5,781"
17,Pathuri,5,5,10,699,"2,725"
18,Shyam Sundar Pur,16,16,37,"1,438","5,822"
19,Sorisapal,12,12,30,"1,014","4,633"
,Total,186,183,559,"19,888","84,232"
