S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,123,119,349,"12,727","56,569"
1,Badjharan,9,9,39,"1,175","5,162"
2,Bankati,11,11,39,"1,635","7,126"
3,Bijatala,8,8,27,"1,177","5,374"
4,CHADHEIPAHADI,21,20,42,938,"4,299"
5,Khanta,8,8,16,"1,104","5,320"
6,LUHASILA,8,8,24,860,"3,770"
7,Madheikacha,10,10,26,675,"3,000"
8,MANIKPUR,8,7,27,642,"2,738"
9,Mundathakura,6,6,27,"1,070","4,830"
10,Nusadihi,6,5,19,780,"3,218"
11,Raihari,13,13,26,"1,275","5,563"
12,SARGADA,15,14,37,"1,396","6,169"
,Total,123,119,349,"12,727","56,569"
