S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,130,130,416,"17,274","78,241"
1,Badadeuli,12,12,49,"1,834","8,335"
2,Badagaon,9,9,26,"1,320","5,655"
3,Bala,6,6,27,"1,059","4,912"
4,Batapalsa,6,6,28,"1,051","4,578"
5,CHITRAPOSI,4,4,20,883,"3,988"
6,Dari,12,12,38,"1,679","7,688"
7,Dudhiani,20,20,29,"1,127","5,511"
8,Ghosoda,4,4,15,544,"2,400"
9,Kerkera,6,6,26,"1,049","5,117"
10,Kuliposi,17,17,33,"1,516","6,758"
11,Miriginandi,8,8,24,"1,098","5,122"
12,Patbil,12,12,37,"1,685","7,724"
13,Rasamtala,5,5,22,697,"2,963"
14,Sarangagada,5,5,26,981,"4,362"
15,Tato,4,4,16,751,"3,128"
,Total,130,130,416,"17,274","78,241"
