S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,107,105,191,"13,198","56,407"
1,Barkand,11,11,13,672,"2,964"
2,Bhaliadiha,13,13,22,"1,428","6,194"
3,Chadheigaon,3,3,3,239,923
4,Chiktamatia,9,9,13,909,"4,289"
5,Dantiamuhan,3,2,5,237,958
6,Dhada Sahi,3,3,5,196,992
7,Durgapur,9,9,13,675,"2,547"
8,Gadia,4,4,7,751,"3,181"
9,Gadiagaon,3,3,11,651,"3,035"
10,Gholmuhan,6,6,15,"1,196","4,832"
11,Haldipal,3,2,6,352,"1,496"
12,Jualibhanga,8,8,13,817,"3,420"
13,Kohi,8,8,16,"1,521","6,428"
14,Morada,3,3,9,555,"2,221"
15,Nuagaon,3,3,7,279,"1,392"
16,Nuajhalia,4,4,5,256,960
17,Palasmunduli,3,3,7,"1,033","4,711"
18,Sanmundhabani,4,4,11,879,"3,542"
19,Surudihi,7,7,10,552,"2,322"
,Total,107,105,191,"13,198","56,407"
